"","Year","Country","HTS8","Value"
"1",2000,"British Virgin Islands","03037940",606054
"2",2000,"British Virgin Islands","03042060",4304040
"3",2000,"British Virgin Islands","09011100",201277
"4",2000,"British Virgin Islands","21039080",6203
"5",2000,"British Virgin Islands","22041000",4320
"6",2000,"British Virgin Islands","22042150",46692
"7",2000,"British Virgin Islands","22084080",4250
"8",2000,"British Virgin Islands","33030020",2117
"9",2000,"British Virgin Islands","33030030",848029
"10",2000,"British Virgin Islands","39181010",76604
"11",2000,"British Virgin Islands","39253010",791
"12",2000,"British Virgin Islands","39262010",29238
"13",2000,"British Virgin Islands","40159000",31197
"14",2000,"British Virgin Islands","40169960",30460
"15",2000,"British Virgin Islands","41042990",1021
"16",2000,"British Virgin Islands","42021220",19020
"17",2000,"British Virgin Islands","42022280",2200
"18",2000,"British Virgin Islands","42029245",18900
"19",2000,"British Virgin Islands","42029290",2184
"20",2000,"British Virgin Islands","44072900",285095
"21",2000,"British Virgin Islands","44121430",115878
"22",2000,"British Virgin Islands","48201020",27750
"23",2000,"British Virgin Islands","49119140",3e+05
"24",2000,"British Virgin Islands","61102020",34167
"25",2000,"British Virgin Islands","62034240",1169
"26",2000,"British Virgin Islands","62046240",893
"27",2000,"British Virgin Islands","62046335",694
"28",2000,"British Virgin Islands","62052020",1191
"29",2000,"British Virgin Islands","62111180",926
"30",2000,"British Virgin Islands","62160046",19181
"31",2000,"British Virgin Islands","62171095",995
"32",2000,"British Virgin Islands","63063100",5159
"33",2000,"British Virgin Islands","65040030",588
"34",2000,"British Virgin Islands","70099110",2023
"35",2000,"British Virgin Islands","71023900",11540900
"36",2000,"British Virgin Islands","71039100",1270671
"37",2000,"British Virgin Islands","71131950",8239
"38",2000,"British Virgin Islands","71179075",3000
"39",2000,"British Virgin Islands","73181410",23929
"40",2000,"British Virgin Islands","73181600",7681
"41",2000,"British Virgin Islands","76020000",25173
"42",2000,"British Virgin Islands","76169950",20326
"43",2000,"British Virgin Islands","83014060",189004
"44",2000,"British Virgin Islands","83089060",4000
"45",2000,"British Virgin Islands","83089090",10273
"46",2000,"British Virgin Islands","84713000",2200
"47",2000,"British Virgin Islands","84717040",55193
"48",2000,"British Virgin Islands","84717090",68250
"49",2000,"British Virgin Islands","84733010",615746
"50",2000,"British Virgin Islands","84733050",27411
"51",2000,"British Virgin Islands","85044070",4750
"52",2000,"British Virgin Islands","85044085",19530
"53",2000,"British Virgin Islands","85089080",8470
"54",2000,"British Virgin Islands","85173030",28138
"55",2000,"British Virgin Islands","85189080",7440
"56",2000,"British Virgin Islands","85273250",3000
"57",2000,"British Virgin Islands","85299099",9387
"58",2000,"British Virgin Islands","85364100",12896
"59",2000,"British Virgin Islands","85364900",45237
"60",2000,"British Virgin Islands","87149500",4968
"61",2000,"British Virgin Islands","89039990",16686
"62",2000,"British Virgin Islands","90021900",4128
"63",2000,"British Virgin Islands","90029095",56882
