"","Year","Country","HTS8","Value"
"1",2006,"British Virgin Islands","19059010",5292
"2",2006,"British Virgin Islands","21039090",2165
"3",2006,"British Virgin Islands","22084040",6530
"4",2006,"British Virgin Islands","25232100",1993317
"5",2006,"British Virgin Islands","29023000",9749835
"6",2006,"British Virgin Islands","29029090",3371428
"7",2006,"British Virgin Islands","33030020",77194
"8",2006,"British Virgin Islands","33030030",1086533
"9",2006,"British Virgin Islands","39169050",34167
"10",2006,"British Virgin Islands","39181010",78312
"11",2006,"British Virgin Islands","39204350",16040
"12",2006,"British Virgin Islands","39241020",7200
"13",2006,"British Virgin Islands","39259000",2722
"14",2006,"British Virgin Islands","39262090",696
"15",2006,"British Virgin Islands","40029100",5958
"16",2006,"British Virgin Islands","40112050",84713
"17",2006,"British Virgin Islands","40119200",146324
"18",2006,"British Virgin Islands","42029230",73102
"19",2006,"British Virgin Islands","44152080",30189
"20",2006,"British Virgin Islands","44182080",20400
"21",2006,"British Virgin Islands","44189045",33306
"22",2006,"British Virgin Islands","48181000",11978
"23",2006,"British Virgin Islands","48191000",20080
"24",2006,"British Virgin Islands","48195040",215386
"25",2006,"British Virgin Islands","49111000",17607
"26",2006,"British Virgin Islands","61012000",36041
"27",2006,"British Virgin Islands","61044320",21804
"28",2006,"British Virgin Islands","61051000",1608
"29",2006,"British Virgin Islands","61091000",6001
"30",2006,"British Virgin Islands","61103020",8066
"31",2006,"British Virgin Islands","62033220",460
"32",2006,"British Virgin Islands","62046220",445
"33",2006,"British Virgin Islands","62071100",2433
"34",2006,"British Virgin Islands","63031200",109464
"35",2006,"British Virgin Islands","63063100",467
"36",2006,"British Virgin Islands","63069900",1500
"37",2006,"British Virgin Islands","63079098",350
"38",2006,"British Virgin Islands","64031940",781
"39",2006,"British Virgin Islands","64061060",420
"40",2006,"British Virgin Islands","64061090",912
"41",2006,"British Virgin Islands","64069930",62812
"42",2006,"British Virgin Islands","70199050",9000
"43",2006,"British Virgin Islands","71011030",25460
"44",2006,"British Virgin Islands","71039910",29762
"45",2006,"British Virgin Islands","71131950",11916
"46",2006,"British Virgin Islands","73151100",59440
"47",2006,"British Virgin Islands","73158930",3480
"48",2006,"British Virgin Islands","73181600",18499
"49",2006,"British Virgin Islands","73249000",507317
"50",2006,"British Virgin Islands","74040060",38500
"51",2006,"British Virgin Islands","76071960",50476
"52",2006,"British Virgin Islands","76169950",39009
"53",2006,"British Virgin Islands","80070010",2040
"54",2006,"British Virgin Islands","83014060",15542
"55",2006,"British Virgin Islands","83024160",19432
"56",2006,"British Virgin Islands","83024980",9082
"57",2006,"British Virgin Islands","83063000",7850
"58",2006,"British Virgin Islands","84254900",314284
"59",2006,"British Virgin Islands","84313900",285000
"60",2006,"British Virgin Islands","84314910",61000
"61",2006,"British Virgin Islands","84716070",13110
"62",2006,"British Virgin Islands","84718010",4350
"63",2006,"British Virgin Islands","84733050",41745
"64",2006,"British Virgin Islands","84818030",92662
"65",2006,"British Virgin Islands","85030095",6000
"66",2006,"British Virgin Islands","85043140",3250
"67",2006,"British Virgin Islands","85043200",302016
"68",2006,"British Virgin Islands","85078080",5430
"69",2006,"British Virgin Islands","85124040",186764
"70",2006,"British Virgin Islands","85179064",59750
"71",2006,"British Virgin Islands","85243200",2400
"72",2006,"British Virgin Islands","85251090",2600
"73",2006,"British Virgin Islands","85252090",7470
"74",2006,"British Virgin Islands","85253090",99000
"75",2006,"British Virgin Islands","85254040",927110
"76",2006,"British Virgin Islands","85299099",3872
"77",2006,"British Virgin Islands","85312000",8740
"78",2006,"British Virgin Islands","85340000",7500
"79",2006,"British Virgin Islands","85366980",136834
"80",2006,"British Virgin Islands","85369040",3300
"81",2006,"British Virgin Islands","85389060",26280
"82",2006,"British Virgin Islands","87087045",275555
"83",2006,"British Virgin Islands","87120025",38837
"84",2006,"British Virgin Islands","87120035",77739
"85",2006,"British Virgin Islands","87149210",7331
"86",2006,"British Virgin Islands","87149500",57718
"87",2006,"British Virgin Islands","89031000",4110
"88",2006,"British Virgin Islands","90189080",2500
"89",2006,"British Virgin Islands","90211000",82069
"90",2006,"British Virgin Islands","92012000",20865
"91",2006,"British Virgin Islands","94016160",6798
"92",2006,"British Virgin Islands","94017100",6106
"93",2006,"British Virgin Islands","94032000",35427
"94",2006,"British Virgin Islands","94035090",231062
"95",2006,"British Virgin Islands","94036080",5726
"96",2006,"British Virgin Islands","94039080",158413
"97",2006,"British Virgin Islands","94060080",10000
"98",2006,"British Virgin Islands","95039000",58461
"99",2006,"British Virgin Islands","95042080",56031
"100",2006,"British Virgin Islands","95051025",8730
"101",2006,"British Virgin Islands","95063900",1529
"102",2006,"British Virgin Islands","95066240",281
"103",2006,"British Virgin Islands","97011000",1e+06
"104",2006,"British Virgin Islands","97020000",7159
"105",2006,"British Virgin Islands","97050000",4720
"106",2006,"British Virgin Islands","98010010",1848547
"107",2006,"British Virgin Islands","99999500",1505895
"108",2006,"Eswatini (Swaziland)","17011110",13532202
"109",2006,"Eswatini (Swaziland)","17011150",250980
"110",2006,"Eswatini (Swaziland)","17019950",146995
"111",2006,"Eswatini (Swaziland)","20079935",6283
"112",2006,"Eswatini (Swaziland)","20079945",18330
"113",2006,"Eswatini (Swaziland)","20083040",17001
"114",2006,"Eswatini (Swaziland)","20083070",917219
"115",2006,"Eswatini (Swaziland)","20089290",368410
"116",2006,"Eswatini (Swaziland)","20093160",12540
"117",2006,"Eswatini (Swaziland)","20093960",32092
"118",2006,"Eswatini (Swaziland)","20094940",48474
"119",2006,"Eswatini (Swaziland)","20098060",107571
"120",2006,"Eswatini (Swaziland)","33011300",314526
