"","Year","Country","HTS8","Value"
"1",2014,"British Virgin Islands","03048950",3450
"2",2014,"British Virgin Islands","09109100",4262
"3",2014,"British Virgin Islands","09109960",2298
"4",2014,"British Virgin Islands","21039090",7512
"5",2014,"British Virgin Islands","24022080",133500
"6",2014,"British Virgin Islands","25171000",12000
"7",2014,"British Virgin Islands","29145030",13276
"8",2014,"British Virgin Islands","33049950",112507
"9",2014,"British Virgin Islands","33051000",32525
"10",2014,"British Virgin Islands","39269099",1000
"11",2014,"British Virgin Islands","40169310",292
"12",2014,"British Virgin Islands","40169350",1250
"13",2014,"British Virgin Islands","42029100",2247
"14",2014,"British Virgin Islands","42029230",36150
"15",2014,"British Virgin Islands","42029260",1980
"16",2014,"British Virgin Islands","44140000",8157
"17",2014,"British Virgin Islands","44190080",37921
"18",2014,"British Virgin Islands","48191000",4825
"19",2014,"British Virgin Islands","48195040",41472
"20",2014,"British Virgin Islands","59100010",595
"21",2014,"British Virgin Islands","61169388",788
"22",2014,"British Virgin Islands","61171020",586
"23",2014,"British Virgin Islands","63072000",3000
"24",2014,"British Virgin Islands","64039960",110564
"25",2014,"British Virgin Islands","65050060",6022
"26",2014,"British Virgin Islands","67029065",15557
"27",2014,"British Virgin Islands","68022150",66095
"28",2014,"British Virgin Islands","70139150",18934
"29",2014,"British Virgin Islands","72042900",9700
"30",2014,"British Virgin Islands","72044900",5000
"31",2014,"British Virgin Islands","73072300",53847
"32",2014,"British Virgin Islands","73110000",57600
"33",2014,"British Virgin Islands","73181900",14646
"34",2014,"British Virgin Islands","73239110",3839
"35",2014,"British Virgin Islands","73239200",7221
"36",2014,"British Virgin Islands","73239300",2902
"37",2014,"British Virgin Islands","73249000",48502
"38",2014,"British Virgin Islands","73269085",61834
"39",2014,"British Virgin Islands","76020000",67303
"40",2014,"British Virgin Islands","76151071",2950
"41",2014,"British Virgin Islands","79070010",18417
"42",2014,"British Virgin Islands","82023100",7164
"43",2014,"British Virgin Islands","82152000",9790
"44",2014,"British Virgin Islands","83024960",16642
"45",2014,"British Virgin Islands","83026090",12960
"46",2014,"British Virgin Islands","84099192",10000
"47",2014,"British Virgin Islands","84129090",111978
"48",2014,"British Virgin Islands","84137020",2500
"49",2014,"British Virgin Islands","84138100",5080
"50",2014,"British Virgin Islands","84199010",17982
"51",2014,"British Virgin Islands","84212100",28714
"52",2014,"British Virgin Islands","84312000",18121
"53",2014,"British Virgin Islands","84314910",9545
"54",2014,"British Virgin Islands","84733051",4549
"55",2014,"British Virgin Islands","84799094",10000
"56",2014,"British Virgin Islands","84871000",10000
"57",2014,"British Virgin Islands","85044095",45000
"58",2014,"British Virgin Islands","85124040",93703
"59",2014,"British Virgin Islands","85171200",16759
"60",2014,"British Virgin Islands","85219000",2502
"61",2014,"British Virgin Islands","85318000",5066
"62",2014,"British Virgin Islands","85340000",75572
"63",2014,"British Virgin Islands","85414020",12331
"64",2014,"British Virgin Islands","85444290",8346
"65",2014,"British Virgin Islands","87089250",14040
"66",2014,"British Virgin Islands","88033000",4500
"67",2014,"British Virgin Islands","90148040",3000
"68",2014,"British Virgin Islands","90221900",2500
"69",2014,"British Virgin Islands","90321000",72145
"70",2014,"British Virgin Islands","90330000",4140
"71",2014,"British Virgin Islands","94016140",18469
"72",2014,"British Virgin Islands","94032000",153032
"73",2014,"British Virgin Islands","94033080",67943
"74",2014,"British Virgin Islands","94035090",29230
"75",2014,"British Virgin Islands","94049020",2750
"76",2014,"British Virgin Islands","95042060",121606
"77",2014,"British Virgin Islands","95042080",8227
"78",2014,"British Virgin Islands","95051010",38689
"79",2014,"British Virgin Islands","95051015",33501
"80",2014,"British Virgin Islands","95051025",310345
"81",2014,"British Virgin Islands","95051050",20475
"82",2014,"British Virgin Islands","95059060",21300
"83",2014,"British Virgin Islands","95069100",5255
"84",2014,"British Virgin Islands","97050000",3200
"85",2014,"British Virgin Islands","98010010",8161583
"86",2014,"British Virgin Islands","98010020",7943
"87",2014,"British Virgin Islands","98170050",49225
"88",2014,"British Virgin Islands","99999500",181419
"89",2014,"Curaçao","15180040",3000
"90",2014,"Curaçao","20097900",3505
"91",2014,"Curaçao","20099040",4206
"92",2014,"Curaçao","22029035",7011
"93",2014,"Curaçao","22029036",3505
"94",2014,"Curaçao","22029037",5659
"95",2014,"Curaçao","22029090",11351
"96",2014,"Curaçao","22084020",22107
"97",2014,"Curaçao","22084040",58533
"98",2014,"Curaçao","22084080",13800
"99",2014,"Curaçao","22087000",106924
"100",2014,"Curaçao","25171000",12815116
"101",2014,"Curaçao","25174900",28200
"102",2014,"Curaçao","27101225",21957024
"103",2014,"Curaçao","27101906",19455522
"104",2014,"Curaçao","27101916",191813075
"105",2014,"Curaçao","27101930",229860
"106",2014,"Curaçao","27101945",5839692
"107",2014,"Curaçao","27109910",8750
"108",2014,"Curaçao","27132000",23127286
"109",2014,"Curaçao","27149000",8962931
"110",2014,"Curaçao","29419050",10924807
"111",2014,"Curaçao","38259000",104530
"112",2014,"Curaçao","40111010",243127
"113",2014,"Curaçao","61124100",7144
"114",2014,"Curaçao","63079098",500
"115",2014,"Curaçao","69149080",304489
"116",2014,"Curaçao","71069110",17894
"117",2014,"Curaçao","71081210",42276232
"118",2014,"Curaçao","71081370",100290
"119",2014,"Curaçao","71129100",4645605
"120",2014,"Curaçao","71129900",4100
"121",2014,"Curaçao","71131950",6700
"122",2014,"Curaçao","71171990",6216
"123",2014,"Curaçao","72042100",161327
"124",2014,"Curaçao","72044900",8989
"125",2014,"Curaçao","72193300",33807
"126",2014,"Curaçao","74040030",160321
"127",2014,"Curaçao","74040060",698256
"128",2014,"Curaçao","75089050",3753
"129",2014,"Curaçao","76020000",300847
"130",2014,"Curaçao","78020000",78000
"131",2014,"Curaçao","84089090",7029
"132",2014,"Curaçao","84099199",2500
"133",2014,"Curaçao","84099992",6000
"134",2014,"Curaçao","84099999",51184
"135",2014,"Curaçao","84119990",6986
"136",2014,"Curaçao","84133010",16431
"137",2014,"Curaçao","84133090",4371
"138",2014,"Curaçao","84135000",5391
"139",2014,"Curaçao","84138100",5400
"140",2014,"Curaçao","84212100",79456
"141",2014,"Curaçao","84212900",54034
"142",2014,"Curaçao","84304980",13200
"143",2014,"Curaçao","84313900",42500
"144",2014,"Curaçao","84314380",157732
"145",2014,"Curaçao","84314990",4000
"146",2014,"Curaçao","84399950",3000
"147",2014,"Curaçao","84713001",10516
"148",2014,"Curaçao","84714900",21961
"149",2014,"Curaçao","84717090",8787
"150",2014,"Curaçao","84718010",15000
"151",2014,"Curaçao","84733051",2660
"152",2014,"Curaçao","84799094",2560293
"153",2014,"Curaçao","84814000",4905
"154",2014,"Curaçao","84818090",2100
"155",2014,"Curaçao","84819090",107300
"156",2014,"Curaçao","84879000",41479
"157",2014,"Curaçao","85014060",9242
"158",2014,"Curaçao","85043140",491384
"159",2014,"Curaçao","85044060",5655
"160",2014,"Curaçao","85044095",28761
"161",2014,"Curaçao","85045080",8410
"162",2014,"Curaçao","85171200",10200
"163",2014,"Curaçao","85176200",13972
"164",2014,"Curaçao","85176900",2750
"165",2014,"Curaçao","85256010",4200
"166",2014,"Curaçao","85258040",115285
"167",2014,"Curaçao","85258050",11521
"168",2014,"Curaçao","85322900",4396
"169",2014,"Curaçao","85340000",6015
"170",2014,"Curaçao","85365090",25300
"171",2014,"Curaçao","85366940",50672
"172",2014,"Curaçao","85366980",176807
"173",2014,"Curaçao","85437096",16176
"174",2014,"Curaçao","85444290",418507
"175",2014,"Curaçao","85444930",3738
"176",2014,"Curaçao","85446020",193961
"177",2014,"Curaçao","89069000",70000
"178",2014,"Curaçao","90158080",7378
"179",2014,"Curaçao","90159000",201150
"180",2014,"Curaçao","90185000",2490
"181",2014,"Curaçao","90189080",47200
"182",2014,"Curaçao","90229060",2330
"183",2014,"Curaçao","90251980",5618
"184",2014,"Curaçao","90261060",20000
"185",2014,"Curaçao","90262080",6912
"186",2014,"Curaçao","90269060",10244
"187",2014,"Curaçao","90272050",5500
"188",2014,"Curaçao","90278080",36084
"189",2014,"Curaçao","90308901",2185
"190",2014,"Curaçao","90309088",6973
"191",2014,"Curaçao","94035040",7000
"192",2014,"Curaçao","97011000",34900
"193",2014,"Curaçao","97030000",25000
"194",2014,"Curaçao","98010010",18574930
"195",2014,"Curaçao","98010020",4989
