"","Year","Country","HTS8","Value"
"1",2005,"British Virgin Islands","03037940",5203
"2",2005,"British Virgin Islands","03042060",109858
"3",2005,"British Virgin Islands","09109100",5760
"4",2005,"British Virgin Islands","19053100",19720
"5",2005,"British Virgin Islands","19059010",119526
"6",2005,"British Virgin Islands","29142910",266200
"7",2005,"British Virgin Islands","33030030",1253256
"8",2005,"British Virgin Islands","33042000",103160
"9",2005,"British Virgin Islands","33049100",7183
"10",2005,"British Virgin Islands","35069900",11975
"11",2005,"British Virgin Islands","38070000",4329
"12",2005,"British Virgin Islands","39172900",42000
"13",2005,"British Virgin Islands","39201000",38610
"14",2005,"British Virgin Islands","39202000",108244
"15",2005,"British Virgin Islands","39231000",20000
"16",2005,"British Virgin Islands","39269098",14414
"17",2005,"British Virgin Islands","40112050",125283
"18",2005,"British Virgin Islands","40119200",72000
"19",2005,"British Virgin Islands","42021100",948
"20",2005,"British Virgin Islands","42021280",33507
"21",2005,"British Virgin Islands","42022280",1836
"22",2005,"British Virgin Islands","42029230",12789
"23",2005,"British Virgin Islands","44071000",287801
"24",2005,"British Virgin Islands","48189000",2829
"25",2005,"British Virgin Islands","57023920",1e+05
"26",2005,"British Virgin Islands","62044340",28425
"27",2005,"British Virgin Islands","62044950",2172
"28",2005,"British Virgin Islands","62082100",251
"29",2005,"British Virgin Islands","62089110",5538
"30",2005,"British Virgin Islands","62141010",1775
"31",2005,"British Virgin Islands","62142000",2846
"32",2005,"British Virgin Islands","62149000",9180
"33",2005,"British Virgin Islands","63029100",2709
"34",2005,"British Virgin Islands","63031200",56182
"35",2005,"British Virgin Islands","63039220",12398
"36",2005,"British Virgin Islands","63071020",501
"37",2005,"British Virgin Islands","63072000",1540
"38",2005,"British Virgin Islands","63079098",1305
"39",2005,"British Virgin Islands","64029140",41746
"40",2005,"British Virgin Islands","71023900",220000
"41",2005,"British Virgin Islands","73158930",26821
"42",2005,"British Virgin Islands","74122000",91937
"43",2005,"British Virgin Islands","76169950",769106
"44",2005,"British Virgin Islands","84099999",73461
"45",2005,"British Virgin Islands","84254900",55467
"46",2005,"British Virgin Islands","84262000",79574
"47",2005,"British Virgin Islands","84314910",319761
"48",2005,"British Virgin Islands","84672900",35880
