"","Year","Country","HTS8","Value"
"1",2013,"British Virgin Islands","03048950",7528
"2",2013,"British Virgin Islands","21039090",5485
"3",2013,"British Virgin Islands","22021000",3997
"4",2013,"British Virgin Islands","24022080",67500
"5",2013,"British Virgin Islands","38180000",14600
"6",2013,"British Virgin Islands","39269099",19887
"7",2013,"British Virgin Islands","42022190",4806
"8",2013,"British Virgin Islands","42029100",8840
"9",2013,"British Virgin Islands","42029290",1225
"10",2013,"British Virgin Islands","44182080",37321
"11",2013,"British Virgin Islands","48119090",56503
"12",2013,"British Virgin Islands","48195040",181682
"13",2013,"British Virgin Islands","49011000",2500
"14",2013,"British Virgin Islands","62160054",9828
"15",2013,"British Virgin Islands","62160058",5928
"16",2013,"British Virgin Islands","63079098",16500
"17",2013,"British Virgin Islands","64035160",7260
"18",2013,"British Virgin Islands","64039160",5676
"19",2013,"British Virgin Islands","64039190",321
"20",2013,"British Virgin Islands","64039960",539
"21",2013,"British Virgin Islands","64039990",1428
"22",2013,"British Virgin Islands","64041190",29367
"23",2013,"British Virgin Islands","64041939",636
"24",2013,"British Virgin Islands","64041990",1140
"25",2013,"British Virgin Islands","65050080",5450
"26",2013,"British Virgin Islands","70099210",9530
"27",2013,"British Virgin Islands","70132230",13613
"28",2013,"British Virgin Islands","70132250",8100
"29",2013,"British Virgin Islands","70133760",6700
"30",2013,"British Virgin Islands","70134150",17832
"31",2013,"British Virgin Islands","70139150",47190
"32",2013,"British Virgin Islands","70139950",2233
"33",2013,"British Virgin Islands","70139980",8583
"34",2013,"British Virgin Islands","70139990",24982
"35",2013,"British Virgin Islands","70200060",96600
"36",2013,"British Virgin Islands","71189000",2428
"37",2013,"British Virgin Islands","72041000",3000
"38",2013,"British Virgin Islands","72042100",5000
"39",2013,"British Virgin Islands","72042900",195000
"40",2013,"British Virgin Islands","73079230",50205
"41",2013,"British Virgin Islands","73110000",3000
"42",2013,"British Virgin Islands","73181410",5186
"43",2013,"British Virgin Islands","73181520",10665
"44",2013,"British Virgin Islands","73181540",9555
"45",2013,"British Virgin Islands","73181550",16528
"46",2013,"British Virgin Islands","74040030",16400
"47",2013,"British Virgin Islands","74122000",1182140
"48",2013,"British Virgin Islands","74199100",12984
"49",2013,"British Virgin Islands","74199950",5447
"50",2013,"British Virgin Islands","76011060",2013
"51",2013,"British Virgin Islands","76020000",8006
"52",2013,"British Virgin Islands","76041030",9118
"53",2013,"British Virgin Islands","79011210",41795
"54",2013,"British Virgin Islands","79020000",7000
"55",2013,"British Virgin Islands","79070010",7690
"56",2013,"British Virgin Islands","82055980",4000
"57",2013,"British Virgin Islands","82075060",6841
"58",2013,"British Virgin Islands","82077030",18342
"59",2013,"British Virgin Islands","83022000",11039
"60",2013,"British Virgin Islands","84099992",6500
"61",2013,"British Virgin Islands","84099999",3700
"62",2013,"British Virgin Islands","84133090",5044
"63",2013,"British Virgin Islands","84139190",3839
"64",2013,"British Virgin Islands","84262000",75000
"65",2013,"British Virgin Islands","84303900",5000
"66",2013,"British Virgin Islands","84678950",4000
"67",2013,"British Virgin Islands","84729090",5180
"68",2013,"British Virgin Islands","84733091",5494
"69",2013,"British Virgin Islands","84818030",5111
"70",2013,"British Virgin Islands","84818050",85510
"71",2013,"British Virgin Islands","84818090",17946
"72",2013,"British Virgin Islands","84819090",3144
"73",2013,"British Virgin Islands","85030090",5394
"74",2013,"British Virgin Islands","85044060",87940
"75",2013,"British Virgin Islands","85049020",3735
"76",2013,"British Virgin Islands","85124040",21958
"77",2013,"British Virgin Islands","85171200",25170
"78",2013,"British Virgin Islands","85176200",28695
"79",2013,"British Virgin Islands","85176900",4872
"80",2013,"British Virgin Islands","85258040",305250
"81",2013,"British Virgin Islands","85269100",8000
"82",2013,"British Virgin Islands","85340000",253886
"83",2013,"British Virgin Islands","85371090",5984
"84",2013,"British Virgin Islands","85389030",2840
"85",2013,"British Virgin Islands","85414020",35909
"86",2013,"British Virgin Islands","87089250",14880
"87",2013,"British Virgin Islands","90019090",5152
"88",2013,"British Virgin Islands","90118000",33000
"89",2013,"British Virgin Islands","90138070",19566
"90",2013,"British Virgin Islands","90158080",5908
"91",2013,"British Virgin Islands","90189080",7000
"92",2013,"British Virgin Islands","90230000",5000
"93",2013,"British Virgin Islands","90309084",4180
"94",2013,"British Virgin Islands","91022170",15950
"95",2013,"British Virgin Islands","94016140",24764
"96",2013,"British Virgin Islands","94032000",26500
"97",2013,"British Virgin Islands","94033080",163550
"98",2013,"British Virgin Islands","94036080",3136
"99",2013,"British Virgin Islands","94055040",9423
"100",2013,"British Virgin Islands","94059940",2640
"101",2013,"British Virgin Islands","95042060",320965
"102",2013,"British Virgin Islands","95042080",23498
"103",2013,"British Virgin Islands","95051010",111964
"104",2013,"British Virgin Islands","95051025",67325
"105",2013,"British Virgin Islands","95051050",128363
"106",2013,"British Virgin Islands","95059060",2554
"107",2013,"British Virgin Islands","96033060",2033
"108",2013,"British Virgin Islands","96161000",5514
"109",2013,"British Virgin Islands","97011000",12360
"110",2013,"British Virgin Islands","97030000",3500
"111",2013,"British Virgin Islands","97060000",436137
"112",2013,"British Virgin Islands","98010010",1335028
"113",2013,"British Virgin Islands","98010026",4784
"114",2013,"British Virgin Islands","98170050",51383
"115",2013,"British Virgin Islands","99999500",138573
