"","Year","Country","HTS8","Value"
"1",1999,"Afghanistan","08025040",7500
"2",1999,"Afghanistan","08062010",3819025
"3",1999,"Afghanistan","08131000",46200
"4",1999,"Afghanistan","09093000",28500
"5",1999,"Afghanistan","12111000",1209535
"6",1999,"Afghanistan","20081950",6750
"7",1999,"Afghanistan","41051920",2036
"8",1999,"Afghanistan","41061930",975
"9",1999,"Afghanistan","42010060",5008
"10",1999,"Afghanistan","42050080",3177
"11",1999,"Afghanistan","51021040",460375
"12",1999,"Afghanistan","52122310",1700
"13",1999,"Afghanistan","57011016",4973
"14",1999,"Afghanistan","57011040",18307
"15",1999,"Afghanistan","57011090",7173
"16",1999,"Afghanistan","57019010",2363
"17",1999,"Afghanistan","57021090",161118
"18",1999,"Afghanistan","57024110",333
"19",1999,"Afghanistan","57024120",1467
"20",1999,"Afghanistan","57025120",1090
"21",1999,"Afghanistan","57031000",500
"22",1999,"Afghanistan","61102020",6823
"23",1999,"Afghanistan","63059000",3254
"24",1999,"Afghanistan","71031020",4837
"25",1999,"Afghanistan","71039910",21039
"26",1999,"Afghanistan","71189000",4558
"27",1999,"Afghanistan","84714100",6000
"28",1999,"Afghanistan","85291090",102757
"29",1999,"Afghanistan","97060000",3156847
"30",1999,"Afghanistan","98010010",107120
"31",1999,"Afghanistan","98120020",40000
"32",1999,"Afghanistan","99999500",46457
"33",1999,"Albania","07129060",173252
"34",1999,"Albania","08134020",2520
"35",1999,"Albania","09095000",4557
"36",1999,"Albania","10062020",19928
"37",1999,"Albania","12119080",2440931
"38",1999,"Albania","12149000",6068
"39",1999,"Albania","22042150",93005
"40",1999,"Albania","33012950",64880
"41",1999,"Albania","44190040",10640
"42",1999,"Albania","44190080",5719
"43",1999,"Albania","61062010",579
"44",1999,"Albania","61062020",1840
"45",1999,"Albania","62021340",853
"46",1999,"Albania","62044230",73132
"47",1999,"Albania","62045220",44575
"48",1999,"Albania","62052020",4914
"49",1999,"Albania","62064030",8844
"50",1999,"Albania","62105030",314
"51",1999,"Albania","62114200",47901
"52",1999,"Albania","64039990",3902299
"53",1999,"Albania","71189000",7200
"54",1999,"Albania","72024100",1776582
"55",1999,"Albania","73053910",7334
"56",1999,"Albania","76011060",4158
"57",1999,"Albania","85044070",3422
"58",1999,"Albania","85045080",36000
"59",1999,"Albania","85399000",10057
"60",1999,"Albania","85421380",56282
"61",1999,"Albania","85423000",2700
"62",1999,"Albania","90184980",2500
"63",1999,"Albania","90211985",2542
"64",1999,"Albania","94038060",23400
"65",1999,"Albania","97011000",68900
"66",1999,"Albania","97040000",2781
"67",1999,"Albania","98010010",17975
"68",1999,"Albania","99999500",44015
"69",1999,"Algeria","08041040",58056
"70",1999,"Algeria","09011200",708291
"71",1999,"Algeria","22042150",34360
"72",1999,"Algeria","25030000",0
"73",1999,"Algeria","27073000",0
"74",1999,"Algeria","27075000",0
"75",1999,"Algeria","27090010",13494856
"76",1999,"Algeria","27090020",90449422
"77",1999,"Algeria","27100005",490299411
"78",1999,"Algeria","27100010",44120570
"79",1999,"Algeria","27100015",3022662
"80",1999,"Algeria","27100018",8895531
"81",1999,"Algeria","27100025",41020621
