"","Year","Country","HTS8","Value"
"1",2010,"British Virgin Islands","22011000",9008
"2",2010,"British Virgin Islands","29145010",51150
"3",2010,"British Virgin Islands","33051000",173788
"4",2010,"British Virgin Islands","33071010",4392
"5",2010,"British Virgin Islands","38099250",41808
"6",2010,"British Virgin Islands","39211219",17232
"7",2010,"British Virgin Islands","39219040",14438
"8",2010,"British Virgin Islands","39241040",22872
"9",2010,"British Virgin Islands","39269099",5160
"10",2010,"British Virgin Islands","40169350",6877
"11",2010,"British Virgin Islands","48184040",13608
"12",2010,"British Virgin Islands","49119980",4352
"13",2010,"British Virgin Islands","62045220",2802
"14",2010,"British Virgin Islands","62046240",27300
"15",2010,"British Virgin Islands","63063000",800
"16",2010,"British Virgin Islands","63079050",0
"17",2010,"British Virgin Islands","64035990",560
"18",2010,"British Virgin Islands","68109900",13637
"19",2010,"British Virgin Islands","70199050",11000
"20",2010,"British Virgin Islands","71131950",2725
"21",2010,"British Virgin Islands","71179045",15000
"22",2010,"British Virgin Islands","73079330",126747
"23",2010,"British Virgin Islands","73079390",5553
"24",2010,"British Virgin Islands","73151100",5396
"25",2010,"British Virgin Islands","73181580",31300
"26",2010,"British Virgin Islands","73219060",31515
"27",2010,"British Virgin Islands","73262000",20601
"28",2010,"British Virgin Islands","74040060",2500
"29",2010,"British Virgin Islands","78020000",3000
"30",2010,"British Virgin Islands","82023100",15430
"31",2010,"British Virgin Islands","82057000",2135
"32",2010,"British Virgin Islands","82060000",4981
"33",2010,"British Virgin Islands","82077030",2667
"34",2010,"British Virgin Islands","82078030",6013
"35",2010,"British Virgin Islands","83014060",2080
"36",2010,"British Virgin Islands","83024160",5425
"37",2010,"British Virgin Islands","83024940",865419
"38",2010,"British Virgin Islands","83025000",2183
"39",2010,"British Virgin Islands","83026090",321162
"40",2010,"British Virgin Islands","84099150",68264
"41",2010,"British Virgin Islands","84129090",245743
"42",2010,"British Virgin Islands","84713001",54490
"43",2010,"British Virgin Islands","84819090",3700
"44",2010,"British Virgin Islands","85044095",3445
"45",2010,"British Virgin Islands","85171200",50361
"46",2010,"British Virgin Islands","85177000",8959
"47",2010,"British Virgin Islands","85258030",590715
"48",2010,"British Virgin Islands","85285100",5800
"49",2010,"British Virgin Islands","85365040",4228
"50",2010,"British Virgin Islands","85371060",2790
"51",2010,"British Virgin Islands","85372000",4974
"52",2010,"British Virgin Islands","85415000",96000
"53",2010,"British Virgin Islands","85423100",7425
"54",2010,"British Virgin Islands","87083050",3269
"55",2010,"British Virgin Islands","94016980",10053
"56",2010,"British Virgin Islands","94032000",27305
"57",2010,"British Virgin Islands","94035090",30104
