"","Year","Country","HTS8","Value"
"1",2001,"British Virgin Islands","03037940",776110
"2",2001,"British Virgin Islands","03042060",2409359
"3",2001,"British Virgin Islands","09011100",34913
"4",2001,"British Virgin Islands","22084040",19284
"5",2001,"British Virgin Islands","34029050",8800
"6",2001,"British Virgin Islands","39204250",48096
"7",2001,"British Virgin Islands","39262010",65016
"8",2001,"British Virgin Islands","39269098",38248
"9",2001,"British Virgin Islands","42022160",1741
"10",2001,"British Virgin Islands","42022280",34381
"11",2001,"British Virgin Islands","42023160",11180
"12",2001,"British Virgin Islands","42029220",300
"13",2001,"British Virgin Islands","44121430",61266
"14",2001,"British Virgin Islands","49119980",2151
"15",2001,"British Virgin Islands","61091000",372
"16",2001,"British Virgin Islands","62019220",569
"17",2001,"British Virgin Islands","62052020",473
"18",2001,"British Virgin Islands","62171095",981
"19",2001,"British Virgin Islands","63063100",500
"20",2001,"British Virgin Islands","63063900",1400
"21",2001,"British Virgin Islands","64039960",121638
"22",2001,"British Virgin Islands","64039990",52233
"23",2001,"British Virgin Islands","68029300",16506
"24",2001,"British Virgin Islands","68109100",11250
"25",2001,"British Virgin Islands","68159940",5809
"26",2001,"British Virgin Islands","70060040",2300
"27",2001,"British Virgin Islands","71131950",2990
"28",2001,"British Virgin Islands","73089095",17693
"29",2001,"British Virgin Islands","73239990",17835
"30",2001,"British Virgin Islands","73269085",121313
"31",2001,"British Virgin Islands","82057000",5865
"32",2001,"British Virgin Islands","83014060",185110
"33",2001,"British Virgin Islands","83024130",27152
"34",2001,"British Virgin Islands","83026030",37200
"35",2001,"British Virgin Islands","83089060",4323
"36",2001,"British Virgin Islands","84099910",54000
"37",2001,"British Virgin Islands","84714942",7453
"38",2001,"British Virgin Islands","84717040",110474
"39",2001,"British Virgin Islands","84718040",164850
"40",2001,"British Virgin Islands","84733010",47814
"41",2001,"British Virgin Islands","85073080",30570
"42",2001,"British Virgin Islands","85074080",9000
"43",2001,"British Virgin Islands","85167900",86250
"44",2001,"British Virgin Islands","85173030",15583
"45",2001,"British Virgin Islands","85182980",34511
"46",2001,"British Virgin Islands","85185000",21147
"47",2001,"British Virgin Islands","85189080",23181
"48",2001,"British Virgin Islands","85364100",15638
"49",2001,"British Virgin Islands","85364900",79647
"50",2001,"British Virgin Islands","85414020",14493
"51",2001,"British Virgin Islands","85421380",7240
"52",2001,"British Virgin Islands","85438996",10016
"53",2001,"British Virgin Islands","90029095",6390
"54",2001,"British Virgin Islands","90119000",233586
"55",2001,"British Virgin Islands","90129000",109152
"56",2001,"British Virgin Islands","90299040",74544
"57",2001,"British Virgin Islands","94035090",44012
"58",2001,"British Virgin Islands","94036080",64582
"59",2001,"British Virgin Islands","94039070",8321
"60",2001,"British Virgin Islands","95062140",8019
"61",2001,"British Virgin Islands","95062180",18441
"62",2001,"British Virgin Islands","95063900",86621
"63",2001,"British Virgin Islands","95069940",134425
"64",2001,"British Virgin Islands","96019080",7478
"65",2001,"British Virgin Islands","97011000",7150
"66",2001,"British Virgin Islands","97060000",3550
"67",2001,"British Virgin Islands","98010010",5518192
"68",2001,"British Virgin Islands","99999500",665977
"69",2001,"Eswatini (Swaziland)","13021940",8271
"70",2001,"Eswatini (Swaziland)","17011110",6369003
"71",2001,"Eswatini (Swaziland)","17011150",90243
"72",2001,"Eswatini (Swaziland)","17019950",159606
"73",2001,"Eswatini (Swaziland)","18063290",7243
"74",2001,"Eswatini (Swaziland)","20082000",51995
"75",2001,"Eswatini (Swaziland)","20083070",168216
"76",2001,"Eswatini (Swaziland)","20087000",4246
"77",2001,"Eswatini (Swaziland)","20091100",13304
"78",2001,"Eswatini (Swaziland)","22087000",18518
"79",2001,"Eswatini (Swaziland)","29095045",4210
"80",2001,"Eswatini (Swaziland)","32041410",6525
"81",2001,"Eswatini (Swaziland)","32042080",7051
"82",2001,"Eswatini (Swaziland)","33030030",38106
"83",2001,"Eswatini (Swaziland)","34060000",690946
"84",2001,"Eswatini (Swaziland)","35069100",2686
"85",2001,"Eswatini (Swaziland)","39075000",16734
"86",2001,"Eswatini (Swaziland)","39172900",1568
"87",2001,"Eswatini (Swaziland)","39191020",2352
"88",2001,"Eswatini (Swaziland)","39239000",40533
"89",2001,"Eswatini (Swaziland)","39269098",298
"90",2001,"Eswatini (Swaziland)","40112010",27856
"91",2001,"Eswatini (Swaziland)","42029100",18518
"92",2001,"Eswatini (Swaziland)","46021018",2202
"93",2001,"Eswatini (Swaziland)","46021029",420
"94",2001,"Eswatini (Swaziland)","47020000",19556
"95",2001,"Eswatini (Swaziland)","47031100",2357319
"96",2001,"Eswatini (Swaziland)","48191000",2986
"97",2001,"Eswatini (Swaziland)","55121900",278
"98",2001,"Eswatini (Swaziland)","57050020",2564
"99",2001,"Eswatini (Swaziland)","58081050",780
"100",2001,"Eswatini (Swaziland)","58109100",2583
"101",2001,"Eswatini (Swaziland)","58109290",573
"102",2001,"Eswatini (Swaziland)","61012000",32640
"103",2001,"Eswatini (Swaziland)","61022000",98980
"104",2001,"Eswatini (Swaziland)","61034210",1809700
"105",2001,"Eswatini (Swaziland)","61034315",595415
