"","Year","Country","HTS8","Value"
"1",2009,"British Virgin Islands","01011000",16000
"2",2009,"British Virgin Islands","03036200",161530
"3",2009,"British Virgin Islands","19053100",18586
"4",2009,"British Virgin Islands","21039090",5916
"5",2009,"British Virgin Islands","32061900",26400
"6",2009,"British Virgin Islands","33030020",121257
"7",2009,"British Virgin Islands","34060000",66484
"8",2009,"British Virgin Islands","39219040",2587
"9",2009,"British Virgin Islands","39232900",6300
"10",2009,"British Virgin Islands","39241020",67700
"11",2009,"British Virgin Islands","39269030",370
"12",2009,"British Virgin Islands","40091200",9620
"13",2009,"British Virgin Islands","44072901",60492
"14",2009,"British Virgin Islands","56079035",3085
"15",2009,"British Virgin Islands","61033200",4081
"16",2009,"British Virgin Islands","61033320",375
"17",2009,"British Virgin Islands","61034210",975
"18",2009,"British Virgin Islands","61091000",400
"19",2009,"British Virgin Islands","62011990",324
"20",2009,"British Virgin Islands","62021330",1020
"21",2009,"British Virgin Islands","62021340",660
"22",2009,"British Virgin Islands","62052020",767
"23",2009,"British Virgin Islands","63061921",300
"24",2009,"British Virgin Islands","63063000",2507
"25",2009,"British Virgin Islands","63079068",7392
"26",2009,"British Virgin Islands","65061030",559
"27",2009,"British Virgin Islands","68151000",5604
"28",2009,"British Virgin Islands","69139050",3060
"29",2009,"British Virgin Islands","71189000",5750
"30",2009,"British Virgin Islands","73084000",2652
"31",2009,"British Virgin Islands","73181550",3266
"32",2009,"British Virgin Islands","73181580",9120
"33",2009,"British Virgin Islands","73209050",9031
"34",2009,"British Virgin Islands","73249000",203115
"35",2009,"British Virgin Islands","73269085",8400
"36",2009,"British Virgin Islands","76151970",45291
"37",2009,"British Virgin Islands","78020000",22500
"38",2009,"British Virgin Islands","82057000",4869
"39",2009,"British Virgin Islands","83024160",9575
"40",2009,"British Virgin Islands","83025000",11167
"41",2009,"British Virgin Islands","83026090",472304
"42",2009,"British Virgin Islands","83111000",20278
"43",2009,"British Virgin Islands","84129090",100350
"44",2009,"British Virgin Islands","84139190",12850
"45",2009,"British Virgin Islands","84253901",4500
"46",2009,"British Virgin Islands","84283900",3160
"47",2009,"British Virgin Islands","84314910",8809
"48",2009,"British Virgin Islands","84678950",7000
"49",2009,"British Virgin Islands","84731020",2203
"50",2009,"British Virgin Islands","84772000",23372
"51",2009,"British Virgin Islands","84818030",21309
"52",2009,"British Virgin Islands","84819090",128161
"53",2009,"British Virgin Islands","84842000",4561
"54",2009,"British Virgin Islands","84871000",20000
"55",2009,"British Virgin Islands","85044070",39110
"56",2009,"British Virgin Islands","85101000",8550
"57",2009,"British Virgin Islands","85115000",2500
"58",2009,"British Virgin Islands","85189080",2456
"59",2009,"British Virgin Islands","85365090",3488
"60",2009,"British Virgin Islands","85369080",3349
"61",2009,"British Virgin Islands","85371090",102905
"62",2009,"British Virgin Islands","85442000",3520
"63",2009,"British Virgin Islands","85444220",8762
"64",2009,"British Virgin Islands","88033000",2700
"65",2009,"British Virgin Islands","89039100",117000
"66",2009,"British Virgin Islands","90079180",3600
"67",2009,"British Virgin Islands","90132000",5280
"68",2009,"British Virgin Islands","90138090",22308
"69",2009,"British Virgin Islands","90184980",2500
"70",2009,"British Virgin Islands","94016140",17080
"71",2009,"British Virgin Islands","94019050",9690
"72",2009,"British Virgin Islands","94032000",319848
"73",2009,"British Virgin Islands","94036080",10797
"74",2009,"British Virgin Islands","94051060",95605
"75",2009,"British Virgin Islands","97030000",5000
"76",2009,"British Virgin Islands","97050000",5980
"77",2009,"British Virgin Islands","98010010",3057162
"78",2009,"British Virgin Islands","98010020",100357
"79",2009,"British Virgin Islands","99999500",334429
"80",2009,"Eswatini (Swaziland)","09042073",33479
"81",2009,"Eswatini (Swaziland)","17011110",6239601
"82",2009,"Eswatini (Swaziland)","20079190",2850
"83",2009,"Eswatini (Swaziland)","20079935",9693
"84",2009,"Eswatini (Swaziland)","20079945",18965
"85",2009,"Eswatini (Swaziland)","20083040",21278
"86",2009,"Eswatini (Swaziland)","20083070",571676
"87",2009,"Eswatini (Swaziland)","20089290",96023
"88",2009,"Eswatini (Swaziland)","33021010",2460
"89",2009,"Eswatini (Swaziland)","33030030",171720
"90",2009,"Eswatini (Swaziland)","33049950",4700
"91",2009,"Eswatini (Swaziland)","37079032",29250
"92",2009,"Eswatini (Swaziland)","38011050",28408
"93",2009,"Eswatini (Swaziland)","39206200",210700
"94",2009,"Eswatini (Swaziland)","39239000",177881
"95",2009,"Eswatini (Swaziland)","39249056",15746
"96",2009,"Eswatini (Swaziland)","39269045",716
"97",2009,"Eswatini (Swaziland)","39269057",354
"98",2009,"Eswatini (Swaziland)","39269099",1947
"99",2009,"Eswatini (Swaziland)","40122080",4623
"100",2009,"Eswatini (Swaziland)","40169350",994
"101",2009,"Eswatini (Swaziland)","40169960",2085
"102",2009,"Eswatini (Swaziland)","42023240",336
"103",2009,"Eswatini (Swaziland)","42023295",6140
