"","Year","Country","HTS8","Value"
"1",2002,"British Virgin Islands","03037940",75983
"2",2002,"British Virgin Islands","03042060",3808928
"3",2002,"British Virgin Islands","03061200",60551
"4",2002,"British Virgin Islands","03061300",171706
"5",2002,"British Virgin Islands","05051000",293515
"6",2002,"British Virgin Islands","09011100",287533
"7",2002,"British Virgin Islands","22087000",6681
"8",2002,"British Virgin Islands","25059000",6120
"9",2002,"British Virgin Islands","27101905",13890470
"10",2002,"British Virgin Islands","30049091",4436
"11",2002,"British Virgin Islands","33030020",358948
"12",2002,"British Virgin Islands","33030030",5544
"13",2002,"British Virgin Islands","39204350",22440
"14",2002,"British Virgin Islands","39241040",277
"15",2002,"British Virgin Islands","39269098",2000
"16",2002,"British Virgin Islands","42023160",31575
"17",2002,"British Virgin Islands","42033000",38000
"18",2002,"British Virgin Islands","48201020",6425
"19",2002,"British Virgin Islands","52083920",54428
"20",2002,"British Virgin Islands","61051000",83631
"21",2002,"British Virgin Islands","61091000",1630
"22",2002,"British Virgin Islands","61102020",10232
"23",2002,"British Virgin Islands","61161008",29339
"24",2002,"British Virgin Islands","62034240",16218
"25",2002,"British Virgin Islands","62044230",400
"26",2002,"British Virgin Islands","62046240",21143
"27",2002,"British Virgin Islands","62149000",14119
"28",2002,"British Virgin Islands","62171095",908
"29",2002,"British Virgin Islands","62179090",28000
"30",2002,"British Virgin Islands","64029918",280
"31",2002,"British Virgin Islands","64039960",5906
"32",2002,"British Virgin Islands","64039990",275
"33",2002,"British Virgin Islands","64041120",13822
"34",2002,"British Virgin Islands","64041170",280
"35",2002,"British Virgin Islands","64041190",8607
"36",2002,"British Virgin Islands","65059020",432
"37",2002,"British Virgin Islands","65059070",6852
"38",2002,"British Virgin Islands","68101950",15200
"39",2002,"British Virgin Islands","70139150",4820
"40",2002,"British Virgin Islands","71023900",551650
"41",2002,"British Virgin Islands","71039100",3000
"42",2002,"British Virgin Islands","71131950",134668
"43",2002,"British Virgin Islands","73181600",9180
"44",2002,"British Virgin Islands","73259950",32429
"45",2002,"British Virgin Islands","76069230",133167
"46",2002,"British Virgin Islands","82013000",9248
"47",2002,"British Virgin Islands","82019030",8370
"48",2002,"British Virgin Islands","82019060",9706
"49",2002,"British Virgin Islands","83021060",7874
"50",2002,"British Virgin Islands","84314910",20000
"51",2002,"British Virgin Islands","84714970",391732
"52",2002,"British Virgin Islands","84717040",41217
"53",2002,"British Virgin Islands","84718010",2214
"54",2002,"British Virgin Islands","84733050",473671
"55",2002,"British Virgin Islands","84735090",216440
"56",2002,"British Virgin Islands","84818010",35747
"57",2002,"British Virgin Islands","84818030",4081
"58",2002,"British Virgin Islands","84821050",35887
"59",2002,"British Virgin Islands","85044060",31705
"60",2002,"British Virgin Islands","85044070",61134
"61",2002,"British Virgin Islands","85044085",4950
