"","Year","Country","HTS8","Value"
"1",2003,"British Virgin Islands","03037940",2035
"2",2003,"British Virgin Islands","03042060",2660723
"3",2003,"British Virgin Islands","09011100",41058
"4",2003,"British Virgin Islands","13021990",2105980
"5",2003,"British Virgin Islands","19053100",6300
"6",2003,"British Virgin Islands","19053200",16830
"7",2003,"British Virgin Islands","19059010",15300
"8",2003,"British Virgin Islands","21039080",3891
"9",2003,"British Virgin Islands","22029090",135360
"10",2003,"British Virgin Islands","22084040",139974
"11",2003,"British Virgin Islands","25030000",0
"12",2003,"British Virgin Islands","27101905",9779157
"13",2003,"British Virgin Islands","27111200",0
"14",2003,"British Virgin Islands","27111300",0
"15",2003,"British Virgin Islands","29022000",0
"16",2003,"British Virgin Islands","33011400",2573
"17",2003,"British Virgin Islands","33030030",809819
"18",2003,"British Virgin Islands","34029050",7643
"19",2003,"British Virgin Islands","37059000",26400
"20",2003,"British Virgin Islands","39181010",34813
"21",2003,"British Virgin Islands","39202000",26263
"22",2003,"British Virgin Islands","39241040",11305
"23",2003,"British Virgin Islands","39259000",1618
"24",2003,"British Virgin Islands","39269098",6131
"25",2003,"British Virgin Islands","40115000",391
"26",2003,"British Virgin Islands","40132000",1057
"27",2003,"British Virgin Islands","42022160",312
"28",2003,"British Virgin Islands","42022270",1130
"29",2003,"British Virgin Islands","42022280",400
"30",2003,"British Virgin Islands","42050080",4413
"31",2003,"British Virgin Islands","44190080",18547
"32",2003,"British Virgin Islands","44209065",20358
"33",2003,"British Virgin Islands","44209080",7446
"34",2003,"British Virgin Islands","49019900",5000
"35",2003,"British Virgin Islands","54078100",280
"36",2003,"British Virgin Islands","58050040",40000
"37",2003,"British Virgin Islands","61062020",327
"38",2003,"British Virgin Islands","61159390",42750
"39",2003,"British Virgin Islands","61169388",148920
"40",2003,"British Virgin Islands","62063030",840
"41",2003,"British Virgin Islands","62141010",326
"42",2003,"British Virgin Islands","63025110",16327
"43",2003,"British Virgin Islands","63025120",71974
"44",2003,"British Virgin Islands","63025300",45365
"45",2003,"British Virgin Islands","63029100",23823
"46",2003,"British Virgin Islands","63049300",12769
"47",2003,"British Virgin Islands","63090000",450
"48",2003,"British Virgin Islands","64029140",93976
"49",2003,"British Virgin Islands","64041190",8699
"50",2003,"British Virgin Islands","65059015",7538
"51",2003,"British Virgin Islands","71023900",6e+05
"52",2003,"British Virgin Islands","71129100",7000
"53",2003,"British Virgin Islands","71131929",5000
"54",2003,"British Virgin Islands","71131950",25556
"55",2003,"British Virgin Islands","72179010",3348
"56",2003,"British Virgin Islands","73044130",124909
"57",2003,"British Virgin Islands","73072210",35661
"58",2003,"British Virgin Islands","73141420",15727
"59",2003,"British Virgin Islands","73151100",2269
"60",2003,"British Virgin Islands","73181300",30933
"61",2003,"British Virgin Islands","73181520",4871
"62",2003,"British Virgin Islands","73211300",847948
"63",2003,"British Virgin Islands","73218150",289686
"64",2003,"British Virgin Islands","73269085",18319
"65",2003,"British Virgin Islands","82032060",3721
"66",2003,"British Virgin Islands","82159950",17026
"67",2003,"British Virgin Islands","83014060",89770
"68",2003,"British Virgin Islands","83025000",127651
"69",2003,"British Virgin Islands","84145100",91750
"70",2003,"British Virgin Islands","84145130",72274
"71",2003,"British Virgin Islands","84149010",35800
"72",2003,"British Virgin Islands","84671950",13864
"73",2003,"British Virgin Islands","84714910",6950
"74",2003,"British Virgin Islands","84714921",70004
"75",2003,"British Virgin Islands","84714948",39084
"76",2003,"British Virgin Islands","84714970",148306
"77",2003,"British Virgin Islands","84716010",6950
"78",2003,"British Virgin Islands","84716020",137196
"79",2003,"British Virgin Islands","84717060",122000
"80",2003,"British Virgin Islands","84718010",63000
"81",2003,"British Virgin Islands","84733010",64100
"82",2003,"British Virgin Islands","84733050",56579
"83",2003,"British Virgin Islands","85044070",49966
"84",2003,"British Virgin Islands","85044095",21700
"85",2003,"British Virgin Islands","85068000",3000
"86",2003,"British Virgin Islands","85094000",90000
"87",2003,"British Virgin Islands","85178010",24500
"88",2003,"British Virgin Islands","85219000",5586
"89",2003,"British Virgin Islands","85249100",3350
"90",2003,"British Virgin Islands","85251030",8181
"91",2003,"British Virgin Islands","85253090",3700
"92",2003,"British Virgin Islands","85281208",10000
"93",2003,"British Virgin Islands","85340000",12628
"94",2003,"British Virgin Islands","85444140",192559
"95",2003,"British Virgin Islands","87089980",125372
"96",2003,"British Virgin Islands","87131000",163200
"97",2003,"British Virgin Islands","87149190",21503
"98",2003,"British Virgin Islands","87149430",3259
"99",2003,"British Virgin Islands","87149610",6580
"100",2003,"British Virgin Islands","87149650",2337
"101",2003,"British Virgin Islands","87149910",2679
"102",2003,"British Virgin Islands","87149980",27101
"103",2003,"British Virgin Islands","90309084",21645
"104",2003,"British Virgin Islands","91012150",300646
"105",2003,"British Virgin Islands","91012990",111900
"106",2003,"British Virgin Islands","91021165",7400
"107",2003,"British Virgin Islands","92099260",53202
"108",2003,"British Virgin Islands","94017100",115176
"109",2003,"British Virgin Islands","94018060",16920
"110",2003,"British Virgin Islands","94032000",260081
"111",2003,"British Virgin Islands","94033080",51325
"112",2003,"British Virgin Islands","94035040",22317
"113",2003,"British Virgin Islands","94035090",18460
"114",2003,"British Virgin Islands","94036040",75755
"115",2003,"British Virgin Islands","94036080",527443
"116",2003,"British Virgin Islands","94039070",269689
"117",2003,"British Virgin Islands","94039080",1516779
"118",2003,"British Virgin Islands","94049020",486
"119",2003,"British Virgin Islands","95039000",5054
"120",2003,"British Virgin Islands","95043000",4000
"121",2003,"British Virgin Islands","95063900",15565
"122",2003,"British Virgin Islands","95066960",10550
"123",2003,"British Virgin Islands","95067020",7420
"124",2003,"British Virgin Islands","95069955",28000
"125",2003,"British Virgin Islands","96019080",11500
"126",2003,"British Virgin Islands","97011000",15100
"127",2003,"British Virgin Islands","98010010",8319937
"128",2003,"British Virgin Islands","99999500",2871503
"129",2003,"Eswatini (Swaziland)","01061990",330000
"130",2003,"Eswatini (Swaziland)","12071000",4540
"131",2003,"Eswatini (Swaziland)","17011110",6746023
"132",2003,"Eswatini (Swaziland)","17011150",22631
"133",2003,"Eswatini (Swaziland)","17019950",81624
"134",2003,"Eswatini (Swaziland)","20083070",314971
"135",2003,"Eswatini (Swaziland)","20084000",22898
"136",2003,"Eswatini (Swaziland)","20089290",36857
"137",2003,"Eswatini (Swaziland)","20091100",39700
"138",2003,"Eswatini (Swaziland)","20093160",38609
"139",2003,"Eswatini (Swaziland)","22042150",2754
