"","Year","Country","HTS8","Value"
"1",1997,"British Virgin Islands","03037700",151262
"2",1997,"British Virgin Islands","03037940",107769
"3",1997,"British Virgin Islands","03042050",56368
"4",1997,"British Virgin Islands","03042060",1932432
"5",1997,"British Virgin Islands","09011100",3364437
"6",1997,"British Virgin Islands","12074000",56717
"7",1997,"British Virgin Islands","21039080",1997
"8",1997,"British Virgin Islands","21039090",9807
"9",1997,"British Virgin Islands","21069099",3648
"10",1997,"British Virgin Islands","22042150",20460
"11",1997,"British Virgin Islands","22084000",31367
"12",1997,"British Virgin Islands","22084040",21071
"13",1997,"British Virgin Islands","22089050",2564
"14",1997,"British Virgin Islands","24021080",6665
"15",1997,"British Virgin Islands","25232900",5145
"16",1997,"British Virgin Islands","27100015",3816796
"17",1997,"British Virgin Islands","33030030",46022
"18",1997,"British Virgin Islands","33049950",1681
"19",1997,"British Virgin Islands","37040000",2500
"20",1997,"British Virgin Islands","37059000",10000
"21",1997,"British Virgin Islands","39253010",115270
"22",1997,"British Virgin Islands","42033000",266
"23",1997,"British Virgin Islands","49100060",2264
"24",1997,"British Virgin Islands","49119140",2000
"25",1997,"British Virgin Islands","56031200",20370
"26",1997,"British Virgin Islands","61034210",7387
"27",1997,"British Virgin Islands","61051000",832
"28",1997,"British Virgin Islands","61091000",13267
"29",1997,"British Virgin Islands","61102020",3107
"30",1997,"British Virgin Islands","61143020",576
"31",1997,"British Virgin Islands","62019220",3937
"32",1997,"British Virgin Islands","62034240",51945
"33",1997,"British Virgin Islands","62046240",27016
"34",1997,"British Virgin Islands","62063030",842
"35",1997,"British Virgin Islands","63063100",2500
"36",1997,"British Virgin Islands","64031930",4278
"37",1997,"British Virgin Islands","64035990",19000
"38",1997,"British Virgin Islands","65059025",409
"39",1997,"British Virgin Islands","65059040",442
"40",1997,"British Virgin Islands","69101000",54016
"41",1997,"British Virgin Islands","70139150",2141
"42",1997,"British Virgin Islands","71131950",2500
"43",1997,"British Virgin Islands","73110000",1495
"44",1997,"British Virgin Islands","76020000",5000
"45",1997,"British Virgin Islands","80070010",9021
"46",1997,"British Virgin Islands","84717040",216044
"47",1997,"British Virgin Islands","84719000",1796
"48",1997,"British Virgin Islands","84733050",37440
"49",1997,"British Virgin Islands","85121020",1810
"50",1997,"British Virgin Islands","85181000",38145
"51",1997,"British Virgin Islands","85181080",32009
"52",1997,"British Virgin Islands","85182980",62610
"53",1997,"British Virgin Islands","88022000",10000
"54",1997,"British Virgin Islands","88023000",1450000
"55",1997,"British Virgin Islands","88032000",3600
"56",1997,"British Virgin Islands","88033000",1700
"57",1997,"British Virgin Islands","90321000",2638
"58",1997,"British Virgin Islands","92099220",13114
"59",1997,"British Virgin Islands","92099910",2129
"60",1997,"British Virgin Islands","92099980",7137
"61",1997,"British Virgin Islands","94038060",23716
"62",1997,"British Virgin Islands","95029900",8651
"63",1997,"British Virgin Islands","95066920",44127
"64",1997,"British Virgin Islands","95069960",51955
"65",1997,"British Virgin Islands","97011000",28850
"66",1997,"British Virgin Islands","98010010",4411462
"67",1997,"British Virgin Islands","99999500",492322
"68",1997,"Eswatini (Swaziland)","13021940",218829
"69",1997,"Eswatini (Swaziland)","17011110",21358574
"70",1997,"Eswatini (Swaziland)","17011150",70543
"71",1997,"Eswatini (Swaziland)","17019910",40032
"72",1997,"Eswatini (Swaziland)","17019950",325591
"73",1997,"Eswatini (Swaziland)","17039050",453155
"74",1997,"Eswatini (Swaziland)","17049035",93434
"75",1997,"Eswatini (Swaziland)","20083070",16630
"76",1997,"Eswatini (Swaziland)","22090000",11340
"77",1997,"Eswatini (Swaziland)","33030020",15189
"78",1997,"Eswatini (Swaziland)","33049950",8687
"79",1997,"Eswatini (Swaziland)","34060000",571476
"80",1997,"Eswatini (Swaziland)","39206200",9450
"81",1997,"Eswatini (Swaziland)","39231000",1148
"82",1997,"Eswatini (Swaziland)","39241050",3962
"83",1997,"Eswatini (Swaziland)","40122060",6623
"84",1997,"Eswatini (Swaziland)","44071000",134355
"85",1997,"Eswatini (Swaziland)","44190080",80132
"86",1997,"Eswatini (Swaziland)","44201000",2815
